event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20160819098_2017-09-21 16:30:00,20160819098,2017-09-21 16:30:00,DIV6-1B-20-1,Division 6,DIV6-1B,DIV6-1B-20
bm_20160612156_2017-07-07 17:00:00,20160612156,2017-07-07 17:00:00,DIV10-4D-4423-1,Division 10,DIV10-4D,DIV10-4D-4423
bm_20161108010_2017-06-19 16:30:00,20161108010,2017-06-19 16:30:00,DIV6-1B-16-2,Division 6,DIV6-1B,DIV6-1B-16
bm_20160108074_2017-05-22 17:00:00,20160108074,2017-05-22 17:00:00,DIV6-1B-8-2,Division 6,DIV6-1B,DIV6-1B-8
bm_20170401183_2017-09-13 20:00:00,20170401183,2017-09-13 20:00:00,DIV6-1B-10-2,Division 6,DIV6-1B,DIV6-1B-10
bm_20160425010_2017-07-05 11:30:00,20160425010,2017-07-05 11:30:00,DIV6-1A-4-1,Division 6,DIV6-1A,DIV6-1A-4
bm_20160719110_2017-06-10 19:00:00,20160719110,2017-06-10 19:00:00,DIV6-1A-12-1,Division 6,DIV6-1A,DIV6-1A-12
bm_20161021188_2017-07-31 20:30:00,20161021188,2017-07-31 20:30:00,DIV6-1B-13-1,Division 6,DIV6-1B,DIV6-1B-13
bm_20170202218_2017-05-27 14:00:00,20170202218,2017-05-27 14:00:00,Div11-CA-110-2,Division 11,DIV11-CA,DIV11-CA-110
bm_20170916081_2017-09-21 19:30:00,20170916081,2017-09-21 19:30:00,DIV8-3N-3239-1,Division 8,DIV8-3N,DIV8-3N-3239
bm_20170411003_2017-09-15 17:00:00,20170411003,2017-09-15 17:00:00,DIV8-3W-Dayroom-DR,Division 8,DIV8-3W,DIV8-3W-Dayroom
bm_20170827130_2017-09-08 08:00:00,20170827130,2017-09-08 08:00:00,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT
bm_20111128041_2017-08-26 21:30:00,20111128041,2017-08-26 21:30:00,DIV08-5H-D6-26,Division 8 RTU,DIV08-5H,DIV08-5H-D6
bm_20170217101_2017-09-16 11:00:00,20170217101,2017-09-16 11:00:00,DIV10-1D-1403-2,Division 10,DIV10-1D,DIV10-1D-1403
bm_20170716167_2017-09-21 11:30:00,20170716167,2017-09-21 11:30:00,DIV08-5H-D6-22,Division 8 RTU,DIV08-5H,DIV08-5H-D6
bm_20170811090_2017-09-16 11:30:00,20170811090,2017-09-16 11:30:00,DIV10-1D-1410-2,Division 10,DIV10-1D,DIV10-1D-1410
bm_20161110033_2017-09-19 09:30:00,20161110033,2017-09-19 09:30:00,Div11-DJ-412-2,Division 11,DIV11-DJ,DIV11-DJ-412
bm_20170709169_2017-09-21 10:30:00,20170709169,2017-09-21 10:30:00,DIV2-D1-C-3,Division 2,DIV2-D1,DIV2-D1-C
bm_20170823239_2017-09-20 10:00:00,20170823239,2017-09-20 10:00:00,DIV2-D1-C-10,Division 2,DIV2-D1,DIV2-D1-C
bm_20170515204_2017-09-22 14:14:00,20170515204,2017-09-22 14:14:00,DIV4-P2-207-2,Division 4,DIV4-P2,DIV4-P2-207
bm_20170823170_2017-09-22 13:15:00,20170823170,2017-09-22 13:15:00,DIV6-1N-15-2,Division 6,DIV6-1N,DIV6-1N-15
bm_20170823170_2017-08-25 21:30:00,20170823170,2017-08-25 21:30:00,DIV6-1J-3-2,Division 6,DIV6-1J,DIV6-1J-3
bm_20160814109_2017-07-21 10:30:00,20160814109,2017-07-21 10:30:00,DIV4-I2-202-2,Division 4,DIV4-I2,DIV4-I2-202
bm_20170515204_2017-09-21 20:30:00,20170515204,2017-09-21 20:30:00,DIV4-I2-203-2,Division 4,DIV4-I2,DIV4-I2-203
bm_20140823001_2017-07-19 09:00:00,20140823001,2017-07-19 09:00:00,DIV4-I2-205-1,Division 4,DIV4-I2,DIV4-I2-205
bm_20170413042_2017-08-05 01:00:00,20170413042,2017-08-05 01:00:00,DIV2-D3-FF-22,Division 2,DIV2-D3,DIV2-D3-FF
bm_20170625182_2017-08-31 21:00:00,20170625182,2017-08-31 21:00:00,DIV4-I2-216-1,Division 4,DIV4-I2,DIV4-I2-216
bm_20151030177_2017-09-12 13:00:00,20151030177,2017-09-12 13:00:00,DIV4-I2-208-2,Division 4,DIV4-I2,DIV4-I2-208
bm_20150507065_2017-07-14 13:00:00,20150507065,2017-07-14 13:00:00,DIV4-I2-214-1,Division 4,DIV4-I2,DIV4-I2-214
